ID,ZIP,CITY,STATE,LAT,LONG
8665,20755,"FORT GEORGE G MEADE",MD,39.08,-76.76
8666,20757,"TEMPLE HILLS",MD,38.8,-76.94
8667,20758,"FRIENDSHIP",MD,39.3,-77.19
8668,20759,"FULTON",MD,39.15,-76.92
8669,20762,"ANDREWS AIR FORCE BASE",MD,38.8,-76.87
8670,20763,"SAVAGE",MD,39.13,-76.81
8671,20764,"SHADY SIDE",MD,38.83,-76.52
8672,20765,"GALESVILLE",MD,38.84,-76.54
8673,20768,"GREENBELT",MD,38.99,-76.88
8674,20769,"GLENN DALE",MD,38.98,-76.8
8675,20770,"GREENBELT",MD,38.99,-76.88
8676,20771,"GREENBELT",MD,38.99,-76.88
8677,20772,"UPPER MARLBORO",MD,38.81,-76.75
8678,20773,"UPPER MARLBORO",MD,38.81,-76.75
8679,20774,"UPPER MARLBORO",MD,38.81,-76.75
8680,20775,"UPPER MARLBORO",MD,38.81,-76.75
8681,20776,"HARWOOD",MD,38.86,-76.6
8682,20777,"HIGHLAND",MD,39.17,-76.95
8683,20778,"WEST RIVER",MD,38.82,-76.55
8684,20779,"TRACYS LANDING",MD,38.76,-76.58
8685,20781,"HYATTSVILLE",MD,38.95,-76.95
8686,20782,"HYATTSVILLE",MD,38.95,-76.95
8687,20783,"HYATTSVILLE",MD,38.95,-76.95
8688,20784,"HYATTSVILLE",MD,38.95,-76.95
8689,20785,"HYATTSVILLE",MD,38.95,-76.95
8690,20787,"HYATTSVILLE",MD,38.95,-76.95
8691,20788,"HYATTSVILLE",MD,38.95,-76.95
8692,20790,"CAPITOL HEIGHTS",MD,38.87,-76.9
8693,20791,"CAPITOL HEIGHTS",MD,38.87,-76.9
8694,20792,"UPPER MARLBORO",MD,38.82,-76.75
8695,20794,"JESSUP",MD,39.14,-76.77
8696,20797,"SOUTHERN MD FACILITY",MD,39.03,-76.9
8697,20799,"CAPITOL HEIGHTS",MD,38.87,-76.9
8698,20810,"BETHESDA",MD,38.97,-77.1
8699,20811,"BETHESDA",MD,38.97,-77.1
8700,20812,"GLEN ECHO",MD,38.96,-77.14
8701,20813,"BETHESDA",MD,38.98,-77.12
8702,20814,"BETHESDA",MD,38.98,-77.12
8703,20815,"CHEVY CHASE",MD,38.98,-77.08
8704,20816,"BETHESDA",MD,38.98,-77.12
8705,20817,"BETHESDA",MD,38.98,-77.12
8706,20818,"CABIN JOHN",MD,38.97,-77.16
8707,20824,"BETHESDA",MD,38.98,-77.12
8708,20825,"CHEVY CHASE",MD,38.98,-77.08
8709,20827,"BETHESDA",MD,38.98,-77.12
8710,20830,"OLNEY",MD,39.14,-77.08
8711,20832,"OLNEY",MD,39.14,-77.08
8712,20833,"BROOKEVILLE",MD,39.17,-77.05
8713,20837,"POOLESVILLE",MD,39.14,-77.41
8714,20838,"BARNESVILLE",MD,39.21,-77.38
8715,20839,"BEALLSVILLE",MD,39.17,-77.41
8716,20841,"BOYDS",MD,39.18,-77.31
8717,20842,"DICKERSON",MD,39.22,-77.42
8718,20847,"ROCKVILLE",MD,39.08,-77.15
8719,20848,"ROCKVILLE",MD,39.08,-77.15
8720,20849,"ROCKVILLE",MD,39.08,-77.15
8721,20850,"ROCKVILLE",MD,39.08,-77.15
8722,20851,"ROCKVILLE",MD,39.08,-77.15
8723,20852,"ROCKVILLE",MD,39.08,-77.15
8724,20853,"ROCKVILLE",MD,39.08,-77.15
8725,20854,"POTOMAC",MD,39.02,-77.19
8726,20855,"DERWOOD",MD,39.13,-77.13
8727,20857,"ROCKVILLE",MD,39.08,-77.15
8728,20859,"POTOMAC",MD,39.02,-77.19
